workload,run_num,cores_per_run,core_offset,warmup_instrs,roi_instrs,simtime
yankee,46,1,46,50000000,500000000,11527
yankee,47,1,47,50000000,500000000,12071
yankee,48,1,48,50000000,500000000,11478
yankee,49,1,49,50000000,500000000,12612
yankee,50,1,50,50000000,500000000,12067
yankee,51,1,51,50000000,500000000,12284
yankee,52,1,52,50000000,500000000,11590
yankee,53,1,53,50000000,500000000,12080
yankee,54,1,54,50000000,500000000,11925
yankee,55,1,55,50000000,500000000,12059
yankee,56,1,56,50000000,500000000,11334
yankee,57,1,57,50000000,500000000,11990
yankee,58,1,58,50000000,500000000,12219
yankee,59,1,59,50000000,500000000,11249
yankee,60,1,60,50000000,500000000,11827
yankee,61,1,61,50000000,500000000,12052
yankee,62,1,62,50000000,500000000,11404
yankee,63,1,63,50000000,500000000,12300
yankee,64,1,64,50000000,500000000,11429
yankee,65,1,65,50000000,500000000,11830
yankee,66,1,66,50000000,500000000,11967
yankee,67,1,67,50000000,500000000,11949
yankee,68,1,68,50000000,500000000,12103
yankee,69,1,69,50000000,500000000,12092
yankee,70,1,70,50000000,500000000,11542
yankee,71,1,71,50000000,500000000,12315
yankee,72,1,72,50000000,500000000,12315
yankee,73,1,73,50000000,500000000,12358
yankee,74,1,74,50000000,500000000,11499
yankee,75,1,75,50000000,500000000,11966
yankee,76,1,76,50000000,500000000,11967
yankee,77,1,77,50000000,500000000,12350
yankee,78,1,78,50000000,500000000,11881
yankee,79,1,79,50000000,500000000,12052
yankee,80,1,80,50000000,500000000,11937
yankee,81,1,81,50000000,500000000,12172
yankee,82,1,82,50000000,500000000,11267
